Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2022-03-02;12:52:09;-30.14;-177.80;40; ;Mw;6.6;KERMADEC ISLANDS, NEW ZEALAND;2022-03-02 13:17;1102530;
2022-02-25;01:39:27;0.24;100.02;10;f;Mw;6.2;NORTHERN SUMATRA, INDONESIA;2022-02-25 07:45;1100446;
2022-02-22;06:12:49;-22.69;-66.24;231; ;Mw;6.0;JUJUY, ARGENTINA;2022-02-22 07:13;1099416;
2022-02-21;23:24:12;-69.80;165.37;10;f;Mw;6.3;BALLENY ISLANDS REGION;2022-02-22 07:35;1099311;
2022-02-16;20:21:06;-23.81;-180.00;520; ;Mw;6.8;SOUTH OF FIJI ISLANDS;2022-02-16 20:57;1097559;
2022-02-16;07:12:26;14.25;-91.22;100; ;Mw;6.2;GUATEMALA;2022-02-16 07:43;1097391;
2022-02-08;11:59:27;-0.47;-19.83;10; ;Mw;6.1;CENTRAL MID-ATLANTIC RIDGE;2022-02-08 12:26;1094995;
2022-02-04;20:25:09;-48.11;99.41;10;f;Mw;6.3;SOUTHEAST INDIAN RIDGE;2022-02-05 09:03;1093797;
2022-02-03;15:58:56;-4.45;-76.86;100; ;Mw;6.5;NORTHERN PERU;2022-02-03 16:21;1093462;
2022-01-29;02:46:39;-29.61;-176.64;10; ;Mw;6.5;KERMADEC ISLANDS REGION;2022-01-29 20:36;1091612;
2022-01-28;11:14:10;5.46;-82.66;10;f;Mw;6.1;SOUTH OF PANAMA;2022-01-28 14:10;1091393;
2022-01-27;06:40:06;-19.10;-176.38;10;f;Mw;6.2;FIJI REGION;2022-01-27 07:46;1091045;
2022-01-25;01:24:33;-55.45;-28.79;10; ;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2022-01-25 07:43;1090324;
2022-01-22;05:17:07;53.34;-166.79;51; ;Mw;6.2;FOX ISLANDS, ALEUTIAN ISLANDS;2022-01-22 11:30;1089478;
2022-01-22;02:26:15;3.73;126.70;40; ;Mw;6.0;KEPULAUAN TALAUD, INDONESIA;2022-01-22 11:36;1089410;
2022-01-21;16:08:37;32.77;132.04;42;f;Mw;6.3;SHIKOKU, JAPAN;2022-01-21 17:04;1089259;
2022-01-16;12:52:10;-6.43;154.80;409; ;Mw;6.1;BOUGAINVILLE REGION, P.N.G.;2022-01-16 14:16;1087618;
2022-01-14;09:05:43;-6.78;105.36;40; ;Mw;6.6;SUNDA STRAIT, INDONESIA;2022-01-14 09:56;1086932;
2022-01-11;12:39:33;52.64;-168.15;16;f;Mw;6.5;FOX ISLANDS, ALEUTIAN ISLANDS;2022-01-11 13:24;1085973;
2022-01-11;11:35:47;52.77;-167.93;21; ;Mw;6.8;FOX ISLANDS, ALEUTIAN ISLANDS;2022-01-11 12:08;1085954;
2022-01-11;01:07:49;35.24;31.93;25;f;Mw;6.6;CYPRUS REGION;2022-01-11 07:57;1085800;
2022-01-10;00:06:31;-33.85;179.64;10;f;Mw;6.1;SOUTH OF KERMADEC ISLANDS;2022-01-10 07:42;1085430;
2022-01-07;17:45:31;37.83;101.41;10; ;Mw;6.6;NORTHERN QINGHAI, CHINA;2022-01-10 07:59;1084798;
2022-01-06;16:25:07;12.00;-87.10;28; ;Mw;6.1;NEAR COAST OF NICARAGUA;2022-01-07 08:02;1084468;
2022-01-04;20:55:47;-4.78;125.06;549; ;Mw;6.0;BANDA SEA;2022-01-05 07:42;1083957;
2022-01-04;03:18:37;35.28;-35.36;10;f;Mw;6.1;NORTHERN MID-ATLANTIC RIDGE;2022-01-04 08:15;1083747;
2022-01-03;09:46:38;24.08;122.26;30;f;Mw;6.2;TAIWAN REGION;2022-01-03 10:23;1083540;
2022-01-03;02:09:46;-13.15;166.85;125; ;Mw;6.0;VANUATU;2022-01-03 07:43;1083463;
2021-12-29;18:25:52;-7.53;127.57;170;f;Mw;7.3;KEPULAUAN BARAT DAYA, INDONESIA;2021-12-29 21:22;1082273;
2021-12-26;15:42:56;-18.12;-179.35;628; ;Mw;6.1;FIJI REGION;2021-12-26 19:13;1081331;
2021-12-22;23:22:57;18.78;-107.28;10;f;Mw;6.0;OFF COAST OF JALISCO, MEXICO;2021-12-23 07:30;1080159;
2021-12-20;20:10:21;40.33;-124.53;26; ;Mw;6.2;OFFSHORE NORTHERN CALIFORNIA;2021-12-21 08:20;1079326;
2021-12-20;03:39:34;-56.85;-24.09;10;f;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2021-12-20 08:12;1079088;
2021-12-19;16:28:25;-16.31;178.46;20; ;Mw;6.2;FIJI;2021-12-19 18:07;1078956;
2021-12-18;20:05:46;-47.11;33.51;20;f;Mw;6.0;PRINCE EDWARD ISLANDS REGION;2021-12-19 17:55;1078693;
2021-12-16;21:14:46;-60.11;-23.77;20;f;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2021-12-17 07:43;1078026;
2021-12-14;03:20:24;-7.64;122.25;12;f;Mw;7.3;FLORES SEA;2021-12-14 03:48;1076720;
2021-12-12;08:58:08;-60.73;153.85;10;f;Mw;6.5;WEST OF MACQUARIE ISLAND;2021-12-12 13:18;1076128;
2021-12-09;02:05:08;29.45;129.38;15;f;Mw;6.0;RYUKYU ISLANDS, JAPAN;2021-12-09 08:01;1075094;
2021-12-04;23:47:55;4.10;128.16;160;f;Mw;6.0;NORTH OF HALMAHERA, INDONESIA;2021-12-05 00:16;1070736;
2021-12-03;08:33:47;-60.36;-27.10;80; ;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2021-12-03 09:15;1070065;
2021-12-03;04:40:04;-28.63;-112.26;10;f;Mw;6.2;EASTER ISLAND REGION;2021-12-03 07:33;1069934;
2021-11-30;10:37:36;-3.60;151.34;10;f;Mw;6.1;NEW IRELAND REGION, P.N.G.;2021-12-07 09:54;1074432;
2021-11-30;10:36:18;-3.42;151.09;10;f;Mw;6.0;NEW IRELAND REGION, P.N.G.;2021-11-30 11:11;1068344;
2021-11-29;12:40:44;31.19;142.49;10; ;Mw;6.4;IZU ISLANDS, JAPAN REGION;2021-11-29 13:02;1067821;
2021-11-28;10:52:13;-4.45;-76.82;110;f;Mw;7.5;NORTHERN PERU;2021-11-28 11:12;1067383;
2021-11-25;23:45:40;22.80;93.57;33; ;Mw;6.2;MYANMAR-INDIA BORDER REGION;2021-11-26 07:18;1066490;
2021-11-25;12:04:09;-10.69;166.37;30; ;Mw;6.0;SANTA CRUZ ISLANDS;2021-11-25 12:27;1066324;
2021-11-18;14:08:06;-5.29;153.71;55; ;Mw;6.5;NEW IRELAND REGION, P.N.G.;2021-11-18 15:01;1064045;
2021-11-15;04:23:31;-37.54;51.24;10;f;Mw;6.0;SOUTH INDIAN OCEAN;2021-11-15 07:55;1062549;
2021-11-14;12:08:39;27.73;56.15;10;f;Mw;6.3;SOUTHERN IRAN;2021-11-14 12:33;1062219;
2021-11-14;12:07:03;27.71;56.12;10;f;Mw;6.0;SOUTHERN IRAN;2021-11-14 12:31;1062212;
2021-11-10;17:46:40;-4.37;134.12;10; ;Mw;6.0;NEAR S COAST OF PAPUA, INDONESIA;2021-11-11 12:57;1060486;
2021-11-10;15:45:12;23.59;126.53;2; ;Mw;6.5;SOUTHEAST OF RYUKYU ISLANDS;2021-11-10 16:51;1060462;
2021-11-09;06:25:17;11.30;-86.53;49; ;Mw;6.2;NEAR COAST OF NICARAGUA;2021-11-09 08:10;1059811;
